#chr	strand	start	end	annotation
1	*	16562	16973	enhancer
1	*	20172	21838	enhancer
1	*	44844	45209	enhancer
1	*	61211	61421	enhancer
1	*	61452	61746	enhancer
1	*	77520	77864	enhancer
1	*	81729	82346	enhancer
1	*	102772	103001	enhancer
1	*	140186	140637	enhancer
1	*	147851	148100	enhancer
1	*	163683	163813	enhancer
1	*	171373	171624	enhancer
1	*	178701	179557	enhancer
1	*	207483	208160	enhancer
1	*	239359	240160	enhancer
1	*	254367	254883	enhancer
1	*	255135	255423	enhancer
1	*	258608	258852	enhancer
1	*	259137	259302	enhancer
1	*	290876	291810	enhancer
1	*	367400	368827	enhancer
1	*	369297	370011	enhancer
1	*	386794	387491	enhancer
1	*	424394	425023	enhancer
1	*	426293	426981	enhancer
1	*	447706	448182	enhancer
1	*	471408	471762	enhancer
1	*	479088	479257	enhancer
1	*	483211	483578	enhancer
1	*	501381	501769	enhancer
1	*	504123	504397	enhancer
1	*	511006	511417	enhancer
1	*	550947	551140	enhancer
1	*	558687	559118	enhancer
1	*	559513	560391	enhancer
1	*	570982	571594	enhancer
1	*	633242	633766	enhancer
1	*	641369	641594	enhancer
1	*	653197	653795	enhancer
1	*	696261	696483	enhancer
1	*	752979	753399	enhancer
1	*	766685	767360	enhancer
1	*	767372	767674	enhancer
1	*	771328	771695	enhancer
1	*	849628	849938	enhancer
1	*	850121	850285	enhancer
1	*	850529	850826	enhancer
1	*	889896	890337	enhancer
1	*	903264	903579	enhancer
1	*	903622	904203	enhancer
1	*	909323	910009	enhancer
1	*	929690	930070	enhancer
1	*	930553	930981	enhancer
1	*	956473	957281	enhancer
1	*	972848	973375	enhancer
1	*	974765	975220	enhancer
1	*	975403	975678	enhancer
1	*	1022645	1022871	enhancer
1	*	1030479	1030858	enhancer
1	*	1030888	1031137	enhancer
1	*	1105845	1106498	enhancer
1	*	1131355	1132063	enhancer
1	*	1132698	1132832	enhancer
1	*	1138922	1139068	enhancer
1	*	1139664	1140195	enhancer
1	*	1158934	1159480	enhancer
1	*	1166741	1167368	enhancer
1	*	1170641	1170884	enhancer
1	*	1171560	1171822	enhancer
1	*	1172762	1173573	enhancer
1	*	1176468	1176803	enhancer
1	*	1222043	1222135	enhancer
1	*	1246098	1246392	enhancer
1	*	1250984	1251240	enhancer
1	*	1272398	1272761	enhancer
1	*	1274012	1274377	enhancer
1	*	1355321	1356234	enhancer
1	*	1400693	1400999	enhancer
1	*	1423190	1423422	enhancer
1	*	1423800	1424142	enhancer
1	*	1433986	1434958	enhancer
1	*	1444975	1445222	enhancer
1	*	1456576	1457057	enhancer
1	*	1470931	1471397	enhancer
1	*	1497503	1498223	enhancer
1	*	1523463	1523722	enhancer
1	*	1549688	1549943	enhancer
1	*	1550151	1550437	enhancer
1	*	1592472	1592607	enhancer
1	*	1593747	1594069	enhancer
1	*	1617146	1617390	enhancer
1	*	1618045	1618411	enhancer
1	*	1661219	1661683	enhancer
1	*	1693516	1693925	enhancer
1	*	1839720	1839837	enhancer
1	*	1840912	1841226	enhancer
1	*	1841560	1841694	enhancer
1	*	1879138	1879727	enhancer
1	*	1880680	1880948	enhancer
1	*	1884370	1884991	enhancer
1	*	1938581	1938827	enhancer
1	*	1942743	1942820	enhancer
1	*	1998329	1998657	enhancer
1	*	2110924	2111403	enhancer
1	*	2123811	2124322	enhancer
1	*	2140953	2141656	enhancer
1	*	2141787	2142279	enhancer
1	*	2171959	2172844	enhancer
1	*	2197269	2197710	enhancer
1	*	2280107	2281333	enhancer
1	*	2284144	2284624	enhancer
1	*	2285117	2285528	enhancer
1	*	2335472	2336285	enhancer
1	*	2351403	2352201	enhancer
1	*	2358777	2359156	enhancer
1	*	2390060	2390422	enhancer
1	*	2390444	2390822	enhancer
1	*	2428374	2428580	enhancer
1	*	2429362	2429735	enhancer
1	*	2433554	2433777	enhancer
1	*	2443507	2444046	enhancer
1	*	2461838	2462725	enhancer
1	*	2482783	2483498	enhancer
1	*	2520580	2521296	enhancer
1	*	2573214	2573638	enhancer
1	*	2588597	2588830	enhancer
1	*	2666957	2667441	enhancer
1	*	2680746	2681311	enhancer
1	*	2681779	2682164	enhancer
1	*	2690529	2691361	enhancer
1	*	2754574	2756039	enhancer
1	*	2756567	2757026	enhancer
1	*	2861813	2862084	enhancer
1	*	2862757	2863016	enhancer
1	*	2870435	2871275	enhancer
1	*	2871731	2872127	enhancer
1	*	2915914	2916261	enhancer
1	*	2949139	2949504	enhancer
1	*	2990624	2992162	enhancer
1	*	3079096	3080007	enhancer
1	*	3081173	3081516	enhancer
1	*	3084178	3084482	enhancer
1	*	3247732	3248153	enhancer
1	*	3249062	3249475	enhancer
1	*	3249980	3250338	enhancer
1	*	3268970	3269617	enhancer
1	*	3328813	3329111	enhancer
