#chr	strand	start	end	annotation
4	*	16053	16210	enhancer
4	*	41204	41530	enhancer
4	*	55862	56565	enhancer
4	*	56710	57315	enhancer
4	*	61491	61756	enhancer
4	*	156488	156654	enhancer
4	*	188824	190129	enhancer
4	*	200628	201015	enhancer
4	*	298854	299582	enhancer
4	*	299727	300888	enhancer
4	*	336782	336948	enhancer
4	*	373671	373984	enhancer
4	*	421636	422392	enhancer
4	*	460988	461562	enhancer
4	*	464877	465621	enhancer
4	*	469746	470342	enhancer
4	*	475192	476042	enhancer
4	*	525686	525966	enhancer
4	*	537694	538024	enhancer
4	*	579161	579355	enhancer
4	*	588672	588976	enhancer
4	*	591825	592140	enhancer
4	*	592523	592836	enhancer
4	*	593095	593352	enhancer
4	*	603674	603966	enhancer
4	*	604042	604550	enhancer
4	*	615372	615725	enhancer
4	*	615995	616172	enhancer
4	*	616194	616444	enhancer
4	*	616726	616937	enhancer
4	*	623739	624149	enhancer
4	*	628061	628331	enhancer
4	*	636741	637327	enhancer
4	*	652079	652608	enhancer
4	*	652770	652932	enhancer
4	*	687284	687694	enhancer
4	*	687800	688019	enhancer
4	*	719536	719837	enhancer
4	*	721920	722596	enhancer
4	*	723940	724116	enhancer
4	*	725130	725474	enhancer
4	*	727355	727700	enhancer
4	*	727900	728248	enhancer
4	*	737087	737243	enhancer
4	*	795851	795969	enhancer
4	*	824089	824197	enhancer
4	*	851047	851257	enhancer
4	*	870286	870987	enhancer
4	*	919165	919379	enhancer
4	*	919511	919919	enhancer
4	*	924656	924946	enhancer
4	*	927608	927861	enhancer
4	*	933446	933650	enhancer
4	*	999420	999863	enhancer
4	*	1029557	1029762	enhancer
4	*	1033934	1034278	enhancer
4	*	1043840	1044319	enhancer
4	*	1044725	1045190	enhancer
4	*	1180536	1180940	enhancer
4	*	1199877	1200623	enhancer
4	*	1233211	1233449	enhancer
4	*	1295286	1295406	enhancer
4	*	1303967	1304302	enhancer
4	*	1304498	1304883	enhancer
4	*	1318949	1319586	enhancer
4	*	1431247	1432293	enhancer
4	*	1444267	1444861	enhancer
4	*	1496561	1497040	enhancer
4	*	1509498	1510470	enhancer
4	*	1514600	1515087	enhancer
4	*	1515819	1516555	enhancer
4	*	1541588	1542121	enhancer
4	*	1561141	1561743	enhancer
4	*	1561831	1562291	enhancer
4	*	1776252	1776543	enhancer
4	*	1885519	1885673	enhancer
4	*	2215860	2216028	enhancer
4	*	2322394	2322720	enhancer
4	*	2334515	2334794	enhancer
4	*	2336101	2336200	enhancer
4	*	2336569	2336727	enhancer
4	*	2349709	2350296	enhancer
4	*	2433585	2433863	enhancer
4	*	2484771	2484972	enhancer
4	*	2485190	2485490	enhancer
4	*	2489153	2489519	enhancer
4	*	2530444	2530678	enhancer
4	*	2589789	2589992	enhancer
4	*	2595744	2596066	enhancer
4	*	2615927	2616070	enhancer
4	*	2616631	2617101	enhancer
4	*	2620327	2620798	enhancer
4	*	2623857	2624052	enhancer
4	*	2799341	2799718	enhancer
4	*	2988299	2988455	enhancer
4	*	3039570	3039734	enhancer
4	*	3042151	3042340	enhancer
4	*	3061232	3061514	enhancer
4	*	4070056	4070410	enhancer
4	*	4104691	4104891	enhancer
4	*	4200939	4201513	enhancer
4	*	4309716	4310109	enhancer
4	*	4790853	4790990	enhancer
4	*	4824360	4824652	enhancer
4	*	5036748	5036980	enhancer
4	*	5037210	5037586	enhancer
4	*	5126105	5126422	enhancer
4	*	5299269	5299647	enhancer
4	*	5299991	5300355	enhancer
4	*	5358335	5358518	enhancer
4	*	5358831	5359142	enhancer
4	*	5403391	5403562	enhancer
4	*	5439872	5440084	enhancer
4	*	5458792	5459386	enhancer
4	*	5495347	5495748	enhancer
4	*	5497589	5498179	enhancer
4	*	5498333	5498573	enhancer
4	*	5634761	5635279	enhancer
4	*	5635782	5635963	enhancer
4	*	5636020	5636306	enhancer
4	*	5645852	5646455	enhancer
4	*	5668857	5669269	enhancer
4	*	5709074	5709873	enhancer
4	*	5716679	5716898	enhancer
4	*	5717723	5718016	enhancer
4	*	5718401	5718755	enhancer
4	*	5736431	5736889	enhancer
4	*	5737482	5737677	enhancer
4	*	5741893	5742348	enhancer
4	*	5792913	5793614	enhancer
4	*	5842597	5842832	enhancer
4	*	5851567	5852291	enhancer
4	*	5896812	5897243	enhancer
4	*	5918795	5919067	enhancer
4	*	5994194	5995014	enhancer
4	*	5995081	5995289	enhancer
4	*	6009289	6009470	enhancer
4	*	6014188	6014464	enhancer
4	*	6047579	6048011	enhancer
4	*	6140983	6141313	enhancer
4	*	6208253	6208441	enhancer
4	*	6220518	6220841	enhancer
4	*	6220909	6221229	enhancer
4	*	6242425	6242760	enhancer
4	*	6257197	6257373	enhancer
4	*	6329679	6329882	enhancer
4	*	6333315	6333849	enhancer
4	*	6422864	6423072	enhancer
4	*	6441220	6441619	enhancer
4	*	6444739	6445237	enhancer
4	*	6493053	6493207	enhancer
4	*	6503213	6503609	enhancer
4	*	6538305	6538499	enhancer
4	*	6553943	6554301	enhancer
4	*	6555347	6555708	enhancer
4	*	6752861	6753234	enhancer
4	*	6792890	6793485	enhancer
4	*	6794419	6794792	enhancer
4	*	6827457	6827599	enhancer
4	*	6827630	6827916	enhancer
4	*	6828927	6829626	enhancer
4	*	6862254	6862771	enhancer
4	*	6866132	6866603	enhancer
4	*	6871681	6872021	enhancer
4	*	6874903	6875263	enhancer
4	*	6876199	6876455	enhancer
4	*	6876746	6877272	enhancer
4	*	6877491	6878043	enhancer
4	*	6878708	6879059	enhancer
4	*	6879624	6880175	enhancer
4	*	6909724	6910248	enhancer
4	*	6913107	6913353	enhancer
4	*	6944532	6944983	enhancer
4	*	7113676	7114351	enhancer
4	*	7165986	7166376	enhancer
4	*	7192912	7193239	enhancer
4	*	7216080	7216731	enhancer
4	*	7224955	7225320	enhancer
4	*	7234474	7234886	enhancer
4	*	7234926	7235110	enhancer
4	*	7237396	7237701	enhancer
4	*	7249931	7250003	enhancer
4	*	7265824	7265960	enhancer
4	*	7272627	7272762	enhancer
4	*	7272980	7273255	enhancer
4	*	7314505	7314809	enhancer
4	*	7338377	7338570	enhancer
4	*	7346460	7346772	enhancer
4	*	7355078	7355727	enhancer
4	*	7372241	7372600	enhancer
4	*	7397101	7397619	enhancer
4	*	7397661	7397766	enhancer
4	*	7405477	7405681	enhancer
4	*	7419630	7419871	enhancer
4	*	7424793	7425058	enhancer
4	*	7585626	7586091	enhancer
4	*	7593996	7594379	enhancer
4	*	7715672	7716151	enhancer
4	*	7717413	7717716	enhancer
4	*	7720442	7720723	enhancer
4	*	7760710	7761589	enhancer
4	*	7762382	7762705	enhancer
4	*	7849717	7850110	enhancer
