#chr	strand	start	end	annotation
2	*	72956	73263	enhancer
2	*	101798	102342	enhancer
2	*	110894	111223	enhancer
2	*	112895	113303	enhancer
2	*	126504	127002	enhancer
2	*	131037	131505	enhancer
2	*	177801	178128	enhancer
2	*	186776	187170	enhancer
2	*	193243	193737	enhancer
2	*	253884	254213	enhancer
2	*	258855	259398	enhancer
2	*	260776	260904	enhancer
2	*	261214	261545	enhancer
2	*	261728	262092	enhancer
2	*	262870	263672	enhancer
2	*	264393	265043	enhancer
2	*	296160	296317	enhancer
2	*	300666	301095	enhancer
2	*	302278	302577	enhancer
2	*	302628	302955	enhancer
2	*	303470	303825	enhancer
2	*	304323	304743	enhancer
2	*	351366	351563	enhancer
2	*	353061	353409	enhancer
2	*	357070	357385	enhancer
2	*	362645	362941	enhancer
2	*	372110	372732	enhancer
2	*	380001	380341	enhancer
2	*	381567	381808	enhancer
2	*	383037	383877	enhancer
2	*	400600	401020	enhancer
2	*	436251	436425	enhancer
2	*	437495	437799	enhancer
2	*	437902	438332	enhancer
2	*	439147	439501	enhancer
2	*	440131	440477	enhancer
2	*	464174	464564	enhancer
2	*	468205	468454	enhancer
2	*	468753	469290	enhancer
2	*	484398	484608	enhancer
2	*	492621	492935	enhancer
2	*	499670	499947	enhancer
2	*	509402	510100	enhancer
2	*	510261	510671	enhancer
2	*	511751	512234	enhancer
2	*	529193	529385	enhancer
2	*	589664	589993	enhancer
2	*	640417	640793	enhancer
2	*	640846	641022	enhancer
2	*	641333	641844	enhancer
2	*	642217	642475	enhancer
2	*	655171	655462	enhancer
2	*	656537	656961	enhancer
2	*	697560	697752	enhancer
2	*	706658	707102	enhancer
2	*	720061	720283	enhancer
2	*	720397	720895	enhancer
2	*	753965	754199	enhancer
2	*	809715	809972	enhancer
2	*	810275	810474	enhancer
2	*	812147	812462	enhancer
2	*	817798	818533	enhancer
2	*	834325	834508	enhancer
2	*	835436	835606	enhancer
2	*	835771	835981	enhancer
2	*	920780	921051	enhancer
2	*	965237	965657	enhancer
2	*	979099	979592	enhancer
2	*	981696	982253	enhancer
2	*	1039028	1039328	enhancer
2	*	1082510	1082970	enhancer
2	*	1083202	1083505	enhancer
2	*	1112117	1112649	enhancer
2	*	1136576	1136982	enhancer
2	*	1137042	1137638	enhancer
2	*	1142031	1142257	enhancer
2	*	1146492	1146840	enhancer
2	*	1147206	1147435	enhancer
2	*	1147625	1147789	enhancer
2	*	1183675	1184009	enhancer
2	*	1188383	1189077	enhancer
2	*	1190535	1190779	enhancer
2	*	1248454	1248647	enhancer
2	*	1263438	1263759	enhancer
2	*	1382462	1382990	enhancer
2	*	1383357	1383540	enhancer
2	*	1415065	1415283	enhancer
2	*	1416028	1416277	enhancer
2	*	1427011	1427270	enhancer
2	*	1467173	1467725	enhancer
2	*	1467986	1468472	enhancer
2	*	1468607	1468727	enhancer
2	*	1556959	1557388	enhancer
2	*	1642605	1642877	enhancer
2	*	1669293	1669687	enhancer
2	*	1680572	1680775	enhancer
2	*	1684252	1684406	enhancer
2	*	1715637	1715824	enhancer
2	*	1788179	1788826	enhancer
2	*	1822135	1822484	enhancer
2	*	1920144	1920441	enhancer
2	*	1926454	1926796	enhancer
