##Checked genes Ensembl
##date=20/5/2021
##Gene stable ID	HGNC symbol	Transcript_stable_ID
AT1G08315		AT1G08315.1
AT3G01320	SNL1	AT3G01320.1
AT4G17500	ERF1A	AT4G17500.1
AT2G37100		AT2G37100.1
AT2G46455		AT2G46455.2
AT5G59870	HTA6	AT5G59870.1
AT4G36945		AT4G36945.1
AT2G30000		AT2G30000.1
AT5G19950		AT5G19950.1
AT1G67960	POD1	AT1G67960.1
AT2G19050		AT2G19050.1
AT3G43610		AT3G43610.2
AT4G05160	4CLL7	AT4G05160.1
AT2G12400		AT2G12400.1
AT3G21070	NADK1	AT3G21070.3
AT5G22000	RHF2A	AT5G22000.1
AT2G34530		AT2G34530.3
AT1G24822		AT1G24822.1
AT3G12203	SCPL17	AT3G12203.1
AT1G31600		AT1G31600.1
AT1G20900	AHL27	AT1G20900.1
AT5G06740		AT5G06740.2
AT5G59170		AT5G59170.1
AT4G34990	MYB32	AT4G34990.1
AT1G26230	CPN60B4	AT1G26230.1
AT3G46010	ADF1	AT3G46010.2
AT1G75670		AT1G75670.2
AT4G18070		AT4G18070.1
AT4G02450	P23-1	AT4G02450.1
AT5G40790		AT5G40790.1
AT1G49475		AT1G49475.1
AT1G76370	PBL22	AT1G76370.1
AT5G38650		AT5G38650.1
AT5G15260		AT5G15260.2
AT3G43740		AT3G43740.2
AT4G22000		AT4G22000.1
AT3G48890	MSBP2	AT3G48890.1
AT3G14463		AT3G14463.1
AT5G33340	CDR1	AT5G33340.1
AT1G51910		AT1G51910.1
AT1G80220		AT1G80220.1
AT5G20120		AT5G20120.2
AT5G15620		AT5G15620.1
AT5G07270	XBAT33	AT5G07270.1
AT5G41970		AT5G41970.1
AT3G29639		AT3G29639.1
AT3G62500		AT3G62500.2
AT1G36970		AT1G36970.1
AT1G01410	APUM22	AT1G01410.1
AT5G23010	MAM1	AT5G23010.2
AT5G46750	AGD9	AT5G46750.1
AT1G80745		AT1G80745.1
AT3G10310		AT3G10310.2
AT2G07632		AT2G07632.1
AT1G01170		AT1G01170.1
AT5G42040	RPN12B	AT5G42040.1
AT1G06640		AT1G06640.1
AT1G02080		AT1G02080.1
AT1G17800	ENODL22	AT1G17800.1
AT1G74400	PCMP-E68	AT1G74400.1
AT1G74150		AT1G74150.1
AT1G20380		AT1G20380.1
AT1G08180	SMR2	AT1G08180.1
AT5G15480		AT5G15480.1
AT4G35830	ACO1	AT4G35830.1
AT1G58090		AT1G58090.1
AT3G46600	SCL30	AT3G46600.1
AT1G16250		AT1G16250.2
AT1G03920		AT1G03920.1
AT3G11402		AT3G11402.1
AT5G45490		AT5G45490.1
AT2G42725		AT2G42725.1
AT2G18915	ADO2	AT2G18915.2
AT3G25750		AT3G25750.2
AT1G67550	URE	AT1G67550.1
AT5G56270	WRKY2	AT5G56270.1
AT5G59310	LTP4	AT5G59310.1
AT3G19520		AT3G19520.3
AT3G32047		AT3G32047.1
AT3G20470	GRP5	AT3G20470.1
AT3G42150		AT3G42150.3
AT1G59780		AT1G59780.1
AT1G67370	ASY1	AT1G67370.1
AT4G02890	UBQ14	AT4G02890.3
AT5G54148		AT5G54148.1
AT5G23370		AT5G23370.1
AT5G58620		AT5G58620.1
AT3G26340	PBE2	AT3G26340.1
AT3G04090	SIP1-1	AT3G04090.1
AT1G14345		AT1G14345.1
AT4G03205	hemf2	AT4G03205.2
AT1G11545	XTH8	AT1G11545.1
AT1G28375		AT1G28375.1
AT4G00155		AT4G00155.1
AT5G19240		AT5G19240.1
AT1G30515		AT1G30515.1
AT1G12470	VPS18	AT1G12470.1
AT5G07000	SOT14	AT5G07000.1
AT1G09190	PCMP-E70	AT1G09190.1
AT1G54773		AT1G54773.1
AT3G16700	FAHD2	AT3G16700.1
AT1G66050	ORTH5	AT1G66050.1
AT5G60310	LECRK110	AT5G60310.1
AT5G59610		AT5G59610.3
ATCG01310	rpl2-A	ATCG01310.1
AT1G55840		AT1G55840.1
AT4G26480		AT4G26480.1
AT2G27780		AT2G27780.1
AT2G21690		AT2G21690.1
AT2G22060		AT2G22060.1
AT3G49580	LSU1	AT3G49580.1
AT5G58230	MSI1	AT5G58230.1
AT5G25280		AT5G25280.3
AT5G60070		AT5G60070.1
AT3G04230	RPS16B	AT3G04230.1
AT5G14730		AT5G14730.1
AT5G44170		AT5G44170.1
AT3G07040	RPM1	AT3G07040.1
AT3G18140	LST8-1	AT3G18140.1
AT3G48450		AT3G48450.1
AT3G42780		AT3G42780.1
AT1G01580	FRO2	AT1G01580.2
AT1G64690	BLT	AT1G64690.3
AT2G28810	DOF2.2	AT2G28810.1
AT1G72650	TRFL6	AT1G72650.2
AT1G19520	NFD5	AT1G19520.1
AT3G02150	TCP13	AT3G02150.2
AT1G48490		AT1G48490.4
AT4G00163		AT4G00163.1
AT3G10820	MED26A	AT3G10820.2
AT3G18290	BTS	AT3G18290.1
AT2G20680	MAN2	AT2G20680.1
AT3G19760	EIF4A3	AT3G19760.1
AT5G07020	MPH1	AT5G07020.1
AT4G31760	PER46	AT4G31760.1
AT5G39720	AIG2LA	AT5G39720.1
AT1G18600	RBL12	AT1G18600.1
AT2G44120		AT2G44120.2
AT4G32300	SD25	AT4G32300.1
AT3G62130	LCD	AT3G62130.2
AT1G25112		AT1G25112.1
AT1G10717	ESF1.3	AT1G10717.1
AT1G24510	CCT5	AT1G24510.1
AT5G56870	BGAL4	AT5G56870.1
AT5G11690	TIM17-3	AT5G11690.1
AT1G51450	TRO	AT1G51450.1
AT3G55860		AT3G55860.1
AT5G26622		AT5G26622.1
AT5G56650	ILL1	AT5G56650.1
AT1G33612		AT1G33612.1
AT3G47800		AT3G47800.1
AT3G46190		AT3G46190.2
AT2G34520	RPS14	AT2G34520.1
AT1G60190	PUB19	AT1G60190.1
AT3G61750		AT3G61750.1
AT3G30370		AT3G30370.1
AT1G31430	PCMP-E55	AT1G31430.2
AT3G49890		AT3G49890.2
AT5G45130	ATRAB5A	AT5G45130.2
AT5G38490		AT5G38490.1
AT1G07485		AT1G07485.1
AT5G55900		AT5G55900.1
AT2G37510		AT2G37510.2
AT5G25754		AT5G25754.1
AT5G01810	CIPK15	AT5G01810.1
AT2G42440	LBD17	AT2G42440.1
AT3G57490	RPS2D	AT3G57490.1
AT3G63210	MARD1	AT3G63210.1
AT1G76530	PILS4	AT1G76530.1
AT3G23660		AT3G23660.2
AT1G10750		AT1G10750.1
AT1G12000	PFP-BETA1	AT1G12000.1
AT1G55490	CPN60B1	AT1G55490.3
AT4G10030		AT4G10030.1
AT4G34020	DJ1C	AT4G34020.1
AT1G68840	RAV2	AT1G68840.1
AT2G16270		AT2G16270.1
AT5G59040	COPT3	AT5G59040.1
AT2G24390	AIG2LD	AT2G24390.1
AT5G62520	SRO5	AT5G62520.1
AT1G04590		AT1G04590.2
AT2G47810	NFYB5	AT2G47810.1
AT5G23930		AT5G23930.1
AT1G47230	CYCA3-4	AT1G47230.2
AT3G04855		AT3G04855.1
AT3G06770		AT3G06770.5
AT3G24250		AT3G24250.1
AT5G67310	CYP81G1	AT5G67310.1
AT2G35720	ATJ13	AT2G35720.1
AT2G07722		AT2G07722.1
AT2G19990	PR-1-LIKE	AT2G19990.1
AT5G61660		AT5G61660.1
AT2G39920		AT2G39920.1
AT1G55700		AT1G55700.1
AT5G17750		AT5G17750.1
AT3G56680		AT3G56680.1
AT1G09310		AT1G09310.1
AT3G50200		AT3G50200.1
AT1G53900		AT1G53900.2
AT2G44240		AT2G44240.1
AT1G68200		AT1G68200.1
AT5G49000		AT5G49000.2
AT1G68290	ENDO2	AT1G68290.1
AT1G47970		AT1G47970.1
AT5G13860	ELCL	AT5G13860.1
AT2G46860	PPA3	AT2G46860.1
AT5G06645		AT5G06645.1
AT5G10050		AT5G10050.1
AT4G24973	SPH18	AT4G24973.1
AT2G35680	DSP8	AT2G35680.1
AT4G24070		AT4G24070.1
AT1G10230	ASK18	AT1G10230.1
AT2G06425		AT2G06425.1
AT5G14640	ASK5	AT5G14640.1
AT3G52030		AT3G52030.1
AT3G54940	RD19D	AT3G54940.2
AT3G05080		AT3G05080.1
AT4G21585	ENDO4	AT4G21585.6
AT1G52260	PDIL1-5	AT1G52260.1
AT5G60720		AT5G60720.1
AT4G04210	PUX4	AT4G04210.1
AT5G07990	CYP75B1	AT5G07990.1
AT2G45310	GAE4	AT2G45310.1
AT1G06670	NIH	AT1G06670.1
AT4G23660	AtPPT1	AT4G23660.3
AT4G07408		AT4G07408.1
AT5G66630	DAR5	AT5G66630.1
AT5G19280	KAPP	AT5G19280.2
AT5G19650	OFP8	AT5G19650.1
AT1G05205		AT1G05205.1
AT5G59180	NRPB7	AT5G59180.1
AT1G69370	CM3	AT1G69370.1
AT3G57960		AT3G57960.1
AT4G13580	DIR18	AT4G13580.1
AT5G46395		AT5G46395.1
AT1G53380		AT1G53380.2
AT3G27380	SDH2-1	AT3G27380.1
AT5G28910		AT5G28910.2
AT1G68935		AT1G68935.1
AT2G43610		AT2G43610.1
AT5G40000		AT5G40000.1
AT4G31080		AT4G31080.2
AT1G09245	SPH14	AT1G09245.1
AT4G10603		AT4G10603.1
AT4G32140		AT4G32140.1
AT1G76728		AT1G76728.1
AT4G11080	HMGB13	AT4G11080.1
AT2G27750		AT2G27750.1
AT5G06450		AT5G06450.1
AT3G12150		AT3G12150.1
AT4G34450		AT4G34450.1
AT4G25020		AT4G25020.1
AT3G44910	CHX12	AT3G44910.1
AT5G47870	RAD52-2	AT5G47870.1
AT4G30790	ATG11	AT4G30790.1
AT4G39900		AT4G39900.1
AT3G33520	ARP6	AT3G33520.1
AT4G40070	ATL32	AT4G40070.1
AT1G69020		AT1G69020.2
AT1G13310		AT1G13310.1
AT5G49160	DMT1	AT5G49160.1
AT4G02500	XXT2	AT4G02500.1
AT2G20980	MCM10	AT2G20980.1
AT5G25150	TAF5	AT5G25150.1
AT1G79230	STR1	AT1G79230.1
AT5G51490	PME59	AT5G51490.1
AT4G00460	ROPGEF3	AT4G00460.2
AT5G38240		AT5G38240.1
AT5G65770	LINC4	AT5G65770.2
AT3G07740	ADA2A	AT3G07740.4
AT1G56270		AT1G56270.1
AT1G60450	GOLS7	AT1G60450.1
AT2G28420		AT2G28420.1
AT4G10457	SCRL1	AT4G10457.1
AT5G64240	AMC3	AT5G64240.2
AT2G04520		AT2G04520.1
AT5G55020	ATMYB120	AT5G55020.1
AT1G28080		AT1G28080.2
AT2G35830		AT2G35830.2
AT2G01480	ESMD1	AT2G01480.1
AT1G76860	LSM3B	AT1G76860.1
AT5G03570	IREG2	AT5G03570.3
AT2G24590	RSZ22A	AT2G24590.1
AT3G12360	ITN1	AT3G12360.1
AT1G05170	B3GALT2	AT1G05170.2
AT1G31010	OSB4	AT1G31010.1
AT2G19650		AT2G19650.1
AT4G23570	SGT1A	AT4G23570.3
AT3G24230		AT3G24230.1
AT3G07960	PIP5K6	AT3G07960.1
AT5G04480		AT5G04480.1
AT1G05785		AT1G05785.6
AT1G54260		AT1G54260.1
AT2G26370		AT2G26370.1
AT4G29280	LCR22	AT4G29280.1
AT1G76490	HMG1	AT1G76490.1
AT2G22145		AT2G22145.1
AT3G03290		AT3G03290.1
AT5G46130		AT5G46130.1
AT2G42990		AT2G42990.1
AT5G47230	ERF5	AT5G47230.1
AT1G15750	TPL	AT1G15750.3
AT3G12300		AT3G12300.1
AT1G28530		AT1G28530.1
AT2G37480		AT2G37480.1
AT2G21910	CYP96A5	AT2G21910.1
AT5G11550		AT5G11550.1
AT1G08160		AT1G08160.1
AT5G15860	ICME	AT5G15860.1
AT2G06541		AT2G06541.1
AT3G53580	DAPF	AT3G53580.1
AT2G24260	BHLH66	AT2G24260.1
AT3G54290		AT3G54290.1
AT1G26255		AT1G26255.3
AT5G40360	MYB115	AT5G40360.1
AT5G62300	RPS20C	AT5G62300.1
AT1G12672		AT1G12672.2
AT4G18450	ERF091	AT4G18450.1
AT5G45540		AT5G45540.1
AT2G17160		AT2G17160.1
AT5G03700		AT5G03700.1
AT2G17305		AT2G17305.1
AT3G58350	RTM3	AT3G58350.1
AT4G00305		AT4G00305.1
AT1G73830	BEE3	AT1G73830.1
AT1G34812		AT1G34812.1
AT3G11964	RRP5	AT3G11964.2
AT4G21140		AT4G21140.1
AT5G62370		AT5G62370.1
AT5G55690		AT5G55690.1
AT2G42110		AT2G42110.1
AT5G35900	LBD35	AT5G35900.1
AT5G47400		AT5G47400.1
AT4G25930		AT4G25930.1
AT1G62510		AT1G62510.1
AT5G41210	GSTT1	AT5G41210.1
AT5G66510	GAMMA CA3	AT5G66510.2
AT1G75390	BZIP44	AT1G75390.1
AT4G16380		AT4G16380.3
AT5G23960	TPS21	AT5G23960.1
AT4G12320	CYP706A6	AT4G12320.1
AT5G65350	HTR11	AT5G65350.1
AT1G50580	UGT79B5	AT1G50580.1
AT4G33355	LTP11	AT4G33355.1
AT3G22660	EBP2	AT3G22660.1
AT1G66830		AT1G66830.1
AT3G10710	PME24	AT3G10710.1
AT1G44900	MCM2	AT1G44900.1
AT5G38270		AT5G38270.1
AT4G19680	IRT2	AT4G19680.2
AT4G33740		AT4G33740.4
AT1G27340	FBX6	AT1G27340.1
AT5G67190	ERF010	AT5G67190.1
AT4G06634	YY1	AT4G06634.1
AT2G21210		AT2G21210.2
AT1G80680	NUP96	AT1G80680.1
AT1G77520		AT1G77520.1
AT1G51402		AT1G51402.1
AT2G36130	CYP18-2	AT2G36130.1
AT4G25760	GDU2	AT4G25760.1
AT5G01410	PDX13	AT5G01410.1
AT2G19210		AT2G19210.1
AT3G60920		AT3G60920.2
AT4G14960	TUBA6	AT4G14960.2
AT1G24148		AT1G24148.1
AT1G20100		AT1G20100.1
AT3G02930		AT3G02930.1
AT3G57250		AT3G57250.1
AT4G35560		AT4G35560.2
AT1G68877		AT1G68877.1
AT1G25260		AT1G25260.1
AT5G20550		AT5G20550.1
AT1G11800		AT1G11800.1
AT3G20500	PAP18	AT3G20500.1
AT1G72050	TFIIIA	AT1G72050.3
AT3G61990	OMTF3	AT3G61990.1
AT3G15090		AT3G15090.1
AT2G38465		AT2G38465.1
AT3G21473		AT3G21473.1
AT3G16220		AT3G16220.1
AT4G36170		AT4G36170.1
AT2G11405		AT2G11405.1
AT5G63230		AT5G63230.1
AT2G21380	KIN7M	AT2G21380.2
AT3G54390		AT3G54390.2
AT5G44585		AT5G44585.1
AT1G31390		AT1G31390.1
AT1G08845		AT1G08845.2
AT3G21360		AT3G21360.1
AT3G47180		AT3G47180.1
AT4G26690	GDPDL3	AT4G26690.1
AT4G28811	BHLH119	AT4G28811.1
AT1G70510	KNAT2	AT1G70510.2
AT5G42410		AT5G42410.1
AT5G42320		AT5G42320.2
AT3G13620		AT3G13620.1
AT1G80060		AT1G80060.3
AT3G18350		AT3G18350.2
AT1G77840		AT1G77840.1
AT3G18640		AT3G18640.2
AT2G45950	ASK20	AT2G45950.2
AT3G27329		AT3G27329.1
AT5G19070		AT5G19070.1
AT1G72730	TIF4A-3	AT1G72730.1
AT2G41380		AT2G41380.1
AT3G22000	CRRSP30	AT3G22000.1
AT5G67220		AT5G67220.1
AT5G05410	DREB2A	AT5G05410.1
AT4G13820		AT4G13820.1
AT5G66710		AT5G66710.1
AT5G26070		AT5G26070.1
AT5G27870	PME28	AT5G27870.1
AT1G25510		AT1G25510.1
AT2G42060		AT2G42060.1
AT1G15780		AT1G15780.2
AT3G28790		AT3G28790.1
AT4G03566		AT4G03566.1
AT3G28020		AT3G28020.1
AT4G32342		AT4G32342.2
AT1G23720		AT1G23720.2
AT5G02620	ANK1	AT5G02620.5
AT2G31780	ATARI11	AT2G31780.1
AT4G28520	CRC	AT4G28520.1
AT4G10680		AT4G10680.1
AT1G30970	SUF4	AT1G30970.3
AT5G66890		AT5G66890.1
AT1G80090	PV42B	AT1G80090.1
AT1G80580	ERF084	AT1G80580.1
AT1G44800		AT1G44800.1
AT5G57570		AT5G57570.1
AT1G26380	FOX1	AT1G26380.1
AT2G42700		AT2G42700.2
AT3G49700	ACS9	AT3G49700.1
AT4G14225	SAP8	AT4G14225.1
AT3G54160		AT3G54160.1
AT1G61170		AT1G61170.1
AT3G05200	ATL6	AT3G05200.1
AT5G50350		AT5G50350.1
AT1G49150		AT1G49150.1
AT3G06410		AT3G06410.1
AT4G22180		AT4G22180.1
AT5G11080		AT5G11080.2
AT3G44400		AT3G44400.4
AT4G14690	ELIP2	AT4G14690.1
AT1G20510	4CLL5	AT1G20510.1
AT3G25905	CLE27	AT3G25905.1
AT2G20790	AP5M	AT2G20790.1
AT2G18328	RL4	AT2G18328.1
AT1G62830	LDL1	AT1G62830.1
AT5G12220		AT5G12220.1
AT3G24660	TMKL1	AT3G24660.1
AT5G06680	GCP3	AT5G06680.1
AT2G04100	DTX6	AT2G04100.1
AT1G21720	PBC1	AT1G21720.1
AT3G55470		AT3G55470.1
AT3G16000	MFP1	AT3G16000.1
AT1G04830		AT1G04830.2
AT2G17980	SLY1	AT2G17980.1
AT1G26830	CUL3A	AT1G26830.1
AT1G27730	ZAT10	AT1G27730.1
AT1G80950	LPEAT1	AT1G80950.1
ATMG00180	CCB452	ATMG00180.1
AT5G52510	SCL8	AT5G52510.1
AT1G05730		AT1G05730.1
AT3G47080		AT3G47080.1
AT2G02510		AT2G02510.1
AT1G30900	VSR6	AT1G30900.1
AT2G39710		AT2G39710.1
AT5G48910	PCMP-H38	AT5G48910.1
AT1G65484		AT1G65484.1
AT5G13280	AK1	AT5G13280.1
AT3G32400	FH17	AT3G32400.2
AT1G15690	AVP1	AT1G15690.1
AT4G11211		AT4G11211.1
AT2G06105		AT2G06105.1
AT3G24495	MSH7	AT3G24495.1
AT5G08270		AT5G08270.1
AT4G11450		AT4G11450.1
AT4G32280	IAA29	AT4G32280.1
AT4G27250		AT4G27250.1
AT1G75410	BLH3	AT1G75410.2
AT5G47100	CBL9	AT5G47100.1
AT3G63120	CYCU3-1	AT3G63120.2
AT2G07714		AT2G07714.1
AT5G67000	ERF122	AT5G67000.1
AT2G28410		AT2G28410.1
AT4G09670		AT4G09670.1
AT1G77710		AT1G77710.1
AT1G75600		AT1G75600.1
AT5G63170		AT5G63170.1
AT1G70650		AT1G70650.2
AT2G43600		AT2G43600.2
AT1G22340	UGT85A7	AT1G22340.1
AT5G42700		AT5G42700.1
AT4G20650		AT4G20650.1
AT2G02680		AT2G02680.1
AT1G14100	FUT8	AT1G14100.1
AT2G15530		AT2G15530.4
AT2G31370	POSF21	AT2G31370.6
AT1G14620	DECOY	AT1G14620.1
AT5G50770	HSD6	AT5G50770.1
AT2G35740	INT3	AT2G35740.1
AT3G18470	PCR7	AT3G18470.1
AT1G21695		AT1G21695.1
AT3G13080	ABCC3	AT3G13080.1
AT3G60975		AT3G60975.1
AT3G28080		AT3G28080.1
AT2G23210		AT2G23210.1
AT3G22840	ELIP1	AT3G22840.1
AT1G77340		AT1G77340.1
AT1G03590	PPC6-6	AT1G03590.1
AT4G26900	HISN4	AT4G26900.1
AT1G68910	WIT2	AT1G68910.1
AT4G32175		AT4G32175.1
AT1G16500		AT1G16500.1
AT3G54820	PIP2-5	AT3G54820.1
AT5G45530		AT5G45530.1
AT1G50430	DWF5	AT1G50430.1
AT3G43250		AT3G43250.1
AT3G10185		AT3G10185.1
AT5G06420		AT5G06420.2
AT1G19770	PUP14	AT1G19770.1
AT3G60950		AT3G60950.1
AT4G25920		AT4G25920.1
AT2G46830	CCA1	AT2G46830.1
AT3G57470		AT3G57470.2
AT1G06290	ACX3	AT1G06290.1
AT3G19980	FYPP3	AT3G19980.1
AT5G52115		AT5G52115.1
AT4G00160		AT4G00160.1
AT1G33940		AT1G33940.1
AT2G22780	PMDH1	AT2G22780.1
AT3G05165		AT3G05165.6
AT3G50070	CYCD3-3	AT3G50070.1
AT5G58460	CHX25	AT5G58460.1
AT4G25170		AT4G25170.2
AT4G31805	POLAR	AT4G31805.1
AT3G19210	CHR25	AT3G19210.1
AT5G65520		AT5G65520.1
AT5G52500		AT5G52500.1
AT4G02000		AT4G02000.1
AT2G39690		AT2G39690.5
AT3G27560	ATN1	AT3G27560.1
AT1G43190	PTB3	AT1G43190.1
AT5G38260	LRK10L-2.1	AT5G38260.1
AT2G18760	CHR8	AT2G18760.3
AT3G27610		AT3G27610.1
AT3G26990		AT3G26990.1
AT5G51195		AT5G51195.1
AT5G15581		AT5G15581.1
AT2G34620		AT2G34620.1
AT3G02300		AT3G02300.2
AT3G49520		AT3G49520.1
AT3G44755		AT3G44755.1
AT5G50740		AT5G50740.3
AT3G45090		AT3G45090.1
AT3G52100		AT3G52100.1
AT1G33880	IAN2	AT1G33880.1
AT2G44600		AT2G44600.1
AT5G50580	SAE1B-2	AT5G50580.2
AT4G02630		AT4G02630.1
AT4G22940		AT4G22940.2
AT2G46567		AT2G46567.1
AT5G37750		AT5G37750.1
AT5G63250		AT5G63250.1
AT2G38220		AT2G38220.1
AT4G16790		AT4G16790.1
AT1G68530	CUT1	AT1G68530.1
AT5G37720	ALY4	AT5G37720.1
AT2G21900	WRKY59	AT2G21900.1
AT5G17020	XPO1	AT5G17020.1
AT5G53030		AT5G53030.1
AT2G30942		AT2G30942.1
AT1G29962	AGL64	AT1G29962.1
AT1G77410	BGAL16	AT1G77410.3
AT5G07800		AT5G07800.1
AT2G22900	GT7	AT2G22900.1
AT3G60480		AT3G60480.3
AT5G07190	ATS3	AT5G07190.1
AT3G45210		AT3G45210.1
AT4G38781		AT4G38781.1
AT3G50410	DOF3.4	AT3G50410.1
AT3G20200		AT3G20200.1
AT3G20980		AT3G20980.1
AT3G12915		AT3G12915.2
AT5G51670		AT5G51670.1
AT3G57380		AT3G57380.1
AT3G02950	THO7B	AT3G02950.2
AT5G19000	BPM1	AT5G19000.2
AT2G46995		AT2G46995.1
AT5G22260	MS1	AT5G22260.1
AT1G08680	ZIGA4	AT1G08680.4
AT2G07775		AT2G07775.1
AT5G14330		AT5G14330.1
AT5G22450		AT5G22450.1
AT1G63780	IMP4	AT1G63780.1
AT5G52570	BETA-OHASE 2	AT5G52570.1
AT3G09900	RABE1E	AT3G09900.1
AT1G55150		AT1G55150.2
AT4G22270	MRB1	AT4G22270.1
AT5G37770	CML24	AT5G37770.1
AT3G24068		AT3G24068.1
AT3G12210		AT3G12210.2
AT1G29560		AT1G29560.1
AT5G12230	MED19A	AT5G12230.1
AT4G01640		AT4G01640.1
AT5G13270	PCMP-H90	AT5G13270.1
AT2G33855		AT2G33855.1
AT2G42830	SHP2	AT2G42830.2
AT1G52280	RABG3D	AT1G52280.1
AT1G22760	PAB3	AT1G22760.1
AT4G14245		AT4G14245.1
AT3G53370	S1FA1	AT3G53370.1
AT3G46760	LECRKS3	AT3G46760.1
AT4G01820	ABCB3	AT4G01820.1
AT1G32410		AT1G32410.2
AT1G33980	ATUPF3	AT1G33980.2
AT3G56600		AT3G56600.3
AT5G07290	ML4	AT5G07290.1
AT3G49690	RAX3	AT3G49690.1
AT5G46060		AT5G46060.1
AT5G41109		AT5G41109.1
AT4G15660	GRXS8	AT4G15660.1
AT1G04160	XI-B	AT1G04160.1
AT1G71720		AT1G71720.1
AT5G15980		AT5G15980.1
AT2G48030		AT2G48030.1
AT3G61960	ATG1A	AT3G61960.1
AT1G69710		AT1G69710.1
AT2G22290	RABH1D	AT2G22290.1
AT3G53220		AT3G53220.1
AT4G30730		AT4G30730.1
AT4G24390	FBX14	AT4G24390.1
AT5G53470	ACBP1	AT5G53470.1
AT4G34470	ASK12	AT4G34470.1
AT3G52720	ACA1	AT3G52720.3
AT4G10350	BRN2	AT4G10350.1
AT1G16170		AT1G16170.1
AT1G66470	BHLH83	AT1G66470.1
AT3G16210		AT3G16210.1
AT4G15070		AT4G15070.1
AT1G52720		AT1G52720.1
AT5G25475		AT5G25475.4
AT1G14320	RPL10A	AT1G14320.1
AT3G21780	UGT71B6	AT3G21780.1
AT4G38960		AT4G38960.3
AT4G12120	SEC1B	AT4G12120.1
AT2G18920		AT2G18920.1
AT2G36700	PME14	AT2G36700.1
AT5G64100	PER69	AT5G64100.1
AT2G45900		AT2G45900.1
AT3G19990		AT3G19990.2
AT1G36510		AT1G36510.1
AT3G10439		AT3G10439.1
AT4G08230		AT4G08230.1
AT5G43470	RPP8	AT5G43470.1
AT2G27030	CAM5	AT2G27030.3
AT2G31660	SAD2	AT2G31660.1
AT1G51913		AT1G51913.1
AT4G23895		AT4G23895.3
AT1G65190		AT1G65190.1
AT2G26030		AT2G26030.4
AT2G31540		AT2G31540.1
AT4G17850		AT4G17850.1
AT1G61800	GPT2	AT1G61800.2
AT5G03790	ATHB-51	AT5G03790.1
AT3G48010	CNGC16	AT3G48010.1
AT5G15400	PUB1	AT5G15400.1
AT3G11745		AT3G11745.1
AT1G11090		AT1G11090.1
AT1G01110	IQD18	AT1G01110.2
AT4G35250		AT4G35250.1
AT1G49660	CXE5	AT1G49660.1
AT5G07610		AT5G07610.1
AT4G02440	EID1	AT4G02440.1
AT3G01540	RH14	AT3G01540.2
AT2G45840		AT2G45840.1
AT3G05360	RLP30	AT3G05360.1
AT4G17430	OFUT30	AT4G17430.1
AT1G15060		AT1G15060.1
AT1G61200		AT1G61200.1
AT2G19040	RALFL12	AT2G19040.1
AT3G19350	MPC	AT3G19350.1
AT1G03200		AT1G03200.1
AT3G22550	FLZ8	AT3G22550.1
AT5G66520	PCMP-H61	AT5G66520.1
AT3G46240		AT3G46240.1
AT3G47833	SDH7A	AT3G47833.1
AT4G23140	CRK6	AT4G23140.2
AT1G03110	TRM82	AT1G03110.1
AT3G19640	MRS2-3	AT3G19640.1
AT3G59300		AT3G59300.3
AT5G06110		AT5G06110.1
AT3G48920	AtMYB45	AT3G48920.1
AT1G01453		AT1G01453.2
AT4G29920		AT4G29920.2
AT5G24160	SQE6	AT5G24160.1
AT3G12650		AT3G12650.1
AT5G17305		AT5G17305.1
AT1G26250		AT1G26250.1
AT1G27280		AT1G27280.1
AT1G28310		AT1G28310.2
AT5G43030		AT5G43030.1
AT4G09660		AT4G09660.1
AT4G31240		AT4G31240.2
AT1G56030	PUB57	AT1G56030.1
AT1G50280		AT1G50280.1
AT5G47800		AT5G47800.2
AT1G70720		AT1G70720.2
AT4G24160		AT4G24160.1
AT2G24625		AT2G24625.1
AT1G79330	AMC5	AT1G79330.1
AT2G31720	ARF70	AT2G31720.1
AT1G50200	ALATS	AT1G50200.2
AT3G49590		AT3G49590.3
AT5G23400		AT5G23400.1
AT5G14540		AT5G14540.1
AT2G23760	BLH4	AT2G23760.4
AT2G33050	AtRLP26	AT2G33050.1
AT5G02330		AT5G02330.1
AT1G12530		AT1G12530.1
AT4G08950	EXO	AT4G08950.1
AT1G72950		AT1G72950.1
AT5G61680		AT5G61680.1
AT5G46980		AT5G46980.1
AT3G01730		AT3G01730.1
AT1G26960	ATHB-23	AT1G26960.1
AT1G25580	SOG1	AT1G25580.1
AT3G23730	XTH16	AT3G23730.1
AT3G20140	CYP705A23	AT3G20140.1
AT3G21670	NPF6.4	AT3G21670.1
AT1G09570	PHYA	AT1G09570.3
AT1G18197		AT1G18197.2
AT3G10190	CML36	AT3G10190.1
AT5G44030	CESA4	AT5G44030.2
AT1G26340	CB5-A	AT1G26340.1
AT4G16670		AT4G16670.1
AT3G62660	GATL7	AT3G62660.1
AT4G18422		AT4G18422.1
AT1G33240	AT-GTL1	AT1G33240.1
AT3G55830	EPC1	AT3G55830.1
AT3G47160		AT3G47160.2
AT4G21800	QQT2	AT4G21800.2
AT5G39700	MYB89	AT5G39700.1
AT5G25820		AT5G25820.1
AT1G19720	DYW7	AT1G19720.1
AT5G04390		AT5G04390.1
AT5G04230	PAL3	AT5G04230.2
AT3G07425		AT3G07425.1
AT1G55180	PLDALPHA4	AT1G55180.1
AT1G28395		AT1G28395.2
